project,file,commit_count,churn,author_count,cc,mi,loc,label
airflow,task-sdk/src/airflow/sdk/definitions/context.py,0,0,0,0,50.0,160,1
airflow,airflow-core/src/airflow/cli/cli_parser.py,0,0,0,0,50.0,157,0
airflow,providers/microsoft/mssql/tests/unit/microsoft/mssql/dialects/test_mssql.py,0,0,0,0,50.0,221,0
airflow,providers/google/tests/unit/google/cloud/hooks/test_pubsub.py,0,0,0,0,50.0,612,0
airflow,providers/microsoft/azure/src/airflow/providers/microsoft/azure/hooks/batch.py,0,0,0,0,50.0,348,0
airflow,airflow-core/tests/unit/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/google/tests/unit/google/common/test_consts.py,0,0,0,0,50.0,28,1
airflow,shared/observability/src/airflow_shared/observability/__init__.py,0,0,0,0,50.0,23,0
airflow,providers/google/src/airflow/providers/google/cloud/triggers/pubsub.py,0,0,0,0,50.0,106,0
airflow,airflow-core/src/airflow/api_fastapi/execution_api/routes/dag_runs.py,0,0,0,0,50.0,216,0
airflow,providers/cncf/kubernetes/src/airflow/providers/cncf/kubernetes/hooks/kubernetes.py,0,0,0,0,50.0,978,1
airflow,providers/apache/tinkerpop/tests/system/apache/tinkerpop/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/postgres/tests/unit/postgres/assets/__init__.py,0,0,0,0,50.0,16,0
airflow,airflow-core/src/airflow/utils/cli_action_loggers.py,0,0,0,0,50.0,137,1
airflow,providers/standard/src/airflow/providers/standard/decorators/sensor.py,0,0,0,0,50.0,62,0
airflow,airflow-core/src/airflow/models/base.py,0,0,0,0,50.0,79,1
airflow,providers/google/src/airflow/providers/google/cloud/hooks/compute.py,0,0,0,0,50.0,784,0
airflow,providers/yandex/tests/unit/yandex/utils/test_user_agent.py,0,0,0,0,50.0,40,0
airflow,providers/cncf/kubernetes/tests/unit/cncf/kubernetes/executors/test_kubernetes_executor.py,0,0,0,0,50.0,1749,1
airflow,providers/cncf/kubernetes/src/airflow/providers/cncf/kubernetes/kube_config.py,0,0,0,0,50.0,115,1
airflow,providers/slack/tests/unit/slack/transfers/test_base_sql_to_slack.py,0,0,0,0,50.0,85,0
airflow,providers/standard/src/airflow/providers/standard/decorators/python_virtualenv.py,0,0,0,0,50.0,49,0
airflow,providers/apache/iceberg/tests/system/apache/iceberg/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/tests/unit/task/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/amazon/tests/unit/amazon/aws/utils/test_redshift.py,0,0,0,0,50.0,48,0
airflow,providers/singularity/src/airflow/providers/singularity/operators/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/tests/unit/api_fastapi/core_api/routes/public/test_event_logs.py,0,0,0,0,50.0,335,1
airflow,airflow-core/src/airflow/models/callback.py,0,0,0,0,50.0,203,1
airflow,providers/apache/kafka/tests/unit/apache/kafka/triggers/test_await_message.py,0,0,0,0,50.0,127,1
airflow,providers/google/tests/unit/google/common/auth_backend/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/google/tests/system/google/cloud/cloud_run/example_cloud_run_service.py,0,0,0,0,50.0,79,0
airflow,dev/system_tests/update_issue_status.py,0,0,0,0,50.0,214,1
airflow,airflow-core/tests/unit/models/test_cleartasks.py,0,0,0,0,50.0,628,1
airflow,providers/airbyte/tests/system/airbyte/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/grpc/tests/unit/grpc/hooks/test_grpc.py,0,0,0,0,50.0,263,0
airflow,airflow-core/tests/integration/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/celery/src/airflow/providers/celery/executors/celery_kubernetes_executor.py,0,0,0,0,50.0,279,1
airflow,providers/standard/src/airflow/providers/standard/sensors/python.py,0,0,0,0,50.0,67,0
airflow,providers/airbyte/src/airflow/providers/airbyte/operators/airbyte.py,0,0,0,0,50.0,127,1
airflow,providers/google/src/airflow/providers/google/cloud/transfers/s3_to_gcs.py,0,0,0,0,50.0,316,0
airflow,providers/openlineage/tests/system/openlineage/__init__.py,0,0,0,0,50.0,16,0
airflow,airflow-core/tests/unit/always/test_secrets_backends.py,0,0,0,0,50.0,90,0
airflow,helm-tests/tests/helm_tests/security/test_rbac_pod_launcher.py,0,0,0,0,50.0,128,0
airflow,providers/standard/tests/unit/standard/decorators/test_python.py,0,0,0,0,50.0,865,0
airflow,airflow-core/src/airflow/example_dags/example_setup_teardown.py,0,0,0,0,50.0,45,0
airflow,airflow-core/src/airflow/cli/utils.py,0,0,0,0,50.0,75,0
airflow,task-sdk/tests/task_sdk/docs/test_public_api.py,0,0,0,0,50.0,72,0
airflow,providers/amazon/tests/unit/amazon/aws/sensors/test_sagemaker_tuning.py,0,0,0,0,50.0,78,0
airflow,providers/amazon/tests/unit/amazon/aws/utils/test_mixins.py,0,0,0,0,50.0,33,0
airflow,airflow-core/src/airflow/example_dags/tutorial.py,0,0,0,0,50.0,109,0
airflow,providers/google/tests/unit/google/cloud/hooks/test_dlp.py,0,0,0,0,50.0,1106,0
airflow,providers/google/tests/system/google/cloud/dataflow/example_dataflow_java_streaming.py,0,0,0,0,50.0,167,1
airflow,providers/amazon/tests/unit/amazon/aws/utils/test_waiter.py,0,0,0,0,50.0,100,0
airflow,providers/apache/hdfs/src/airflow/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/tests/unit/models/test_dagrun.py,0,0,0,0,50.0,2541,1
airflow,airflow-ctl/src/airflowctl/api/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/google/tests/system/google/cloud/gcs/example_sftp_to_gcs.py,0,0,0,0,50.0,118,0
airflow,providers/apache/drill/src/airflow/providers/apache/drill/hooks/drill.py,0,0,0,0,50.0,86,1
airflow,providers/google/src/airflow/providers/google/common/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/google/tests/unit/google/cloud/hooks/test_functions.py,0,0,0,0,50.0,270,0
airflow,providers/google/src/airflow/providers/google/cloud/triggers/cloud_batch.py,0,0,0,0,50.0,140,0
airflow,airflow-core/tests/unit/dags/test_default_impersonation.py,0,0,0,0,50.0,42,0
airflow,providers/pagerduty/src/airflow/providers/pagerduty/notifications/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/google/tests/integration/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/arangodb/docs/conf.py,0,0,0,0,50.0,23,0
airflow,airflow-core/src/airflow/utils/sqlalchemy.py,0,0,0,0,50.0,375,1
airflow,providers/hashicorp/tests/unit/hashicorp/hooks/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/apache/kylin/src/airflow/providers/apache/kylin/__init__.py,0,0,0,0,50.0,34,0
airflow,providers/apache/impala/tests/system/apache/__init__.py,0,0,0,0,50.0,17,1
airflow,providers/openai/tests/unit/openai/test_exceptions.py,0,0,0,0,50.0,33,0
airflow,providers/google/src/airflow/providers/google/cloud/utils/datafusion.py,0,0,0,0,50.0,28,0
airflow,providers/google/src/airflow/providers/google/cloud/links/cloud_sql.py,0,0,0,0,50.0,35,0
airflow,airflow-core/tests/unit/utils/test_sqlalchemy.py,0,0,0,0,50.0,312,1
airflow,providers/apache/hive/src/airflow/providers/apache/hive/sensors/hive_partition.py,0,0,0,0,50.0,69,1
airflow,providers/google/tests/unit/google/cloud/utils/test_external_token_supplier.py,0,0,0,0,50.0,108,0
airflow,providers/amazon/src/airflow/providers/amazon/aws/transfers/ftp_to_s3.py,0,0,0,0,50.0,133,0
airflow,providers/google/tests/unit/google/common/hooks/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/apache/kafka/src/airflow/providers/apache/kafka/version_compat.py,0,0,0,0,50.0,34,0
airflow,airflow-core/src/airflow/api_fastapi/core_api/datamodels/config.py,0,0,0,0,50.0,50,0
airflow,providers/apache/kylin/tests/unit/apache/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/amazon/tests/unit/amazon/aws/auth_manager/avp/test_facade.py,0,0,0,0,50.0,294,0
airflow,providers/amazon/src/airflow/providers/amazon/aws/transfers/sftp_to_s3.py,0,0,0,0,50.0,93,0
airflow,providers/ssh/tests/unit/ssh/hooks/test_ssh.py,0,0,0,0,50.0,863,1
airflow,helm-tests/tests/helm_tests/security/test_security_context.py,0,0,0,0,50.0,470,0
airflow,airflow-core/src/airflow/api_fastapi/core_api/datamodels/ui/config.py,0,0,0,0,50.0,33,0
airflow,providers/microsoft/azure/src/airflow/providers/microsoft/azure/sensors/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/jdbc/tests/unit/jdbc/hooks/test_jdbc.py,0,0,0,0,50.0,362,1
airflow,airflow-ctl/src/airflowctl/exceptions.py,0,0,0,0,50.0,32,1
airflow,providers/google/tests/unit/google/cloud/sensors/test_workflows.py,0,0,0,0,50.0,97,0
airflow,providers/microsoft/azure/tests/system/microsoft/azure/example_sftp_to_wasb.py,0,0,0,0,50.0,77,0
airflow,providers/amazon/tests/unit/amazon/aws/triggers/test_redshift_cluster.py,0,0,0,0,50.0,102,0
airflow,providers/google/src/airflow/providers/google/cloud/operators/gcs.py,0,0,0,0,50.0,957,1
airflow,task-sdk/dev/datamodel_code_formatter.py,0,0,0,0,50.0,119,0
airflow,task-sdk/tests/task_sdk/execution_time/test_supervisor.py,0,0,0,0,50.0,2710,1
airflow,providers/opensearch/tests/unit/opensearch/log/test_os_json_formatter.py,0,0,0,0,50.0,80,0
airflow,airflow-core/tests/unit/timetables/test_events_timetable.py,0,0,0,0,50.0,185,0
airflow,providers/amazon/src/airflow/providers/amazon/aws/triggers/ec2.py,0,0,0,0,50.0,71,0
airflow,providers/sftp/src/airflow/providers/sftp/__init__.py,0,0,0,0,50.0,34,1
airflow,dev/breeze/src/airflow_breeze/utils/packages.py,0,0,0,0,50.0,1120,1
airflow,providers/opensearch/tests/unit/opensearch/conftest.py,0,0,0,0,50.0,99,1
airflow,scripts/ci/prek/check_provider_version_compat.py,0,0,0,0,50.0,65,0
airflow,dev/breeze/src/airflow_breeze/utils/coertions.py,0,0,0,0,50.0,26,1
airflow,providers/microsoft/azure/tests/system/microsoft/azure/example_fileshare.py,0,0,0,0,50.0,58,0
airflow,providers/microsoft/mssql/tests/conftest.py,0,0,0,0,50.0,18,1
airflow,providers/google/src/airflow/providers/google/cloud/links/bigquery.py,0,0,0,0,50.0,46,0
airflow,providers/google/src/airflow/providers/google/cloud/bundles/__init__.py,0,0,0,0,50.0,16,0
airflow,airflow-core/tests/unit/always/test_connection.py,0,0,0,0,50.0,793,1
airflow,providers/apache/flink/tests/unit/apache/flink/sensors/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/fab/tests/unit/fab/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/slack/src/airflow/providers/slack/hooks/slack_webhook.py,0,0,0,0,50.0,352,0
airflow,airflow-core/tests/unit/decorators/test_task_group.py,0,0,0,0,50.0,76,0
airflow,providers/apache/drill/tests/unit/apache/drill/hooks/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/microsoft/winrm/tests/system/microsoft/winrm/__init__.py,0,0,0,0,50.0,16,0
airflow,airflow-core/src/airflow/dag_processing/dagbag.py,0,0,0,0,50.0,607,1
airflow,providers/google/tests/system/google/cloud/kubernetes_engine/example_kubernetes_engine.py,0,0,0,0,50.0,119,1
airflow,dev/breeze/src/airflow_breeze/utils/version_utils.py,0,0,0,0,50.0,34,1
airflow,providers/facebook/docs/conf.py,0,0,0,0,50.0,23,0
airflow,providers/git/src/airflow/providers/git/hooks/__init__.py,0,0,0,0,50.0,16,0
airflow,task-sdk-integration-tests/tests/task_sdk_tests/jwt_plugin.py,0,0,0,0,50.0,87,0
airflow,providers/fab/tests/unit/fab/auth_manager/views/test_user.py,0,0,0,0,50.0,63,0
airflow,providers/google/tests/system/google/cloud/cloud_batch/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/alibaba/tests/unit/alibaba/cloud/hooks/test_oss.py,0,0,0,0,50.0,139,0
airflow,airflow-core/src/airflow/api_fastapi/core_api/routes/public/monitor.py,0,0,0,0,50.0,25,0
airflow,providers/google/tests/system/google/cloud/dataproc_metastore/example_dataproc_metastore_backup.py,0,0,0,0,50.0,124,1
airflow,providers/google/tests/system/google/cloud/natural_language/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/ydb/tests/system/ydb/example_ydb.py,0,0,0,0,50.0,127,0
airflow,providers/yandex/src/airflow/providers/yandex/utils/user_agent.py,0,0,0,0,50.0,42,0
airflow,providers/standard/tests/unit/standard/operators/test_weekday.py,0,0,0,0,50.0,313,1
airflow,providers/redis/tests/unit/redis/hooks/test_redis.py,0,0,0,0,50.0,75,0
airflow,task-sdk/src/airflow/sdk/api/datamodels/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/apache/kafka/tests/unit/apache/kafka/triggers/test_msg_queue.py,0,0,0,0,50.0,123,1
airflow,airflow-core/src/airflow/example_dags/example_xcom.py,0,0,0,0,50.0,73,0
airflow,helm-tests/tests/chart_utils/log_groomer.py,0,0,0,0,50.0,237,0
airflow,providers/amazon/tests/unit/amazon/aws/sensors/test_ecs.py,0,0,0,0,50.0,241,0
airflow,providers/amazon/src/airflow/providers/amazon/aws/operators/cloud_formation.py,0,0,0,0,50.0,91,1
airflow,providers/apache/kylin/tests/conftest.py,0,0,0,0,50.0,18,0
airflow,providers/salesforce/src/airflow/providers/salesforce/__init__.py,0,0,0,0,50.0,34,0
airflow,providers/microsoft/azure/tests/unit/microsoft/azure/transfers/test_s3_to_wasb.py,0,0,0,0,50.0,245,0
airflow,providers/docker/tests/unit/docker/hooks/test_docker.py,0,0,0,0,50.0,265,0
airflow,providers/jdbc/docs/conf.py,0,0,0,0,50.0,23,0
airflow,airflow-core/src/airflow/migrations/versions/0017_2_9_2_fix_inconsistency_between_ORM_and_migration_files.py,0,0,0,0,50.0,273,1
airflow,providers/google/src/airflow/providers/google/marketing_platform/hooks/display_video.py,0,0,0,0,50.0,99,0
airflow,providers/dbt/cloud/tests/system/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/tests/unit/utils/test_operator_helpers.py,0,0,0,0,50.0,111,0
airflow,airflow-core/tests/unit/api_fastapi/core_api/routes/public/test_dag_tags.py,0,0,0,0,50.0,241,1
airflow,airflow-core/tests/unit/cli/commands/test_db_command.py,0,0,0,0,50.0,920,1
airflow,providers/oracle/tests/unit/oracle/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/apache/tinkerpop/tests/integration/__init__.py,0,0,0,0,50.0,17,1
airflow,providers/google/tests/system/google/leveldb/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/amazon/tests/unit/amazon/aws/executors/__init__.py,0,0,0,0,50.0,16,0
airflow,devel-common/src/sphinx_exts/docs_build/docs_builder.py,0,0,0,0,50.0,315,0
airflow,airflow-core/src/airflow/api_fastapi/execution_api/versions/v2025_08_10.py,0,0,0,0,50.0,39,1
airflow,airflow-core/tests/unit/dags/test_mapped_taskflow.py,0,0,0,0,50.0,32,0
airflow,providers/microsoft/azure/tests/system/microsoft/azure/example_azure_cosmosdb.py,0,0,0,0,50.0,63,0
airflow,airflow-core/tests/unit/api_fastapi/auth/managers/simple/conftest.py,0,0,0,0,50.0,48,0
airflow,providers/edge3/src/airflow/providers/edge3/__init__.py,0,0,0,0,50.0,34,0
airflow,providers/elasticsearch/src/airflow/providers/elasticsearch/__init__.py,0,0,0,0,50.0,34,1
airflow,helm-tests/tests/helm_tests/other/test_git_sync_triggerer.py,0,0,0,0,50.0,113,0
airflow,providers/amazon/tests/unit/amazon/aws/operators/test_emr_add_steps.py,0,0,0,0,50.0,282,0
airflow,providers/apache/kafka/tests/integration/apache/kafka/sensors/__init__.py,0,0,0,0,50.0,16,0
airflow,airflow-core/src/airflow/cli/commands/dag_command.py,0,0,0,0,50.0,589,1
airflow,providers/teradata/src/airflow/providers/teradata/utils/constants.py,0,0,0,0,50.0,46,1
airflow,providers/google/tests/unit/google/cloud/hooks/test_alloy_db.py,0,0,0,0,50.0,578,0
airflow,providers/amazon/tests/unit/amazon/aws/hooks/test_redshift_sql.py,0,0,0,0,50.0,258,1
airflow,airflow-core/src/airflow/cli/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/microsoft/mssql/src/airflow/providers/microsoft/mssql/get_provider_info.py,0,0,0,0,50.0,53,1
airflow,airflow-core/src/airflow/api_fastapi/execution_api/versions/__init__.py,0,0,0,0,50.0,48,1
airflow,devel-common/src/docs/build_docs.py,0,0,0,0,50.0,704,1
airflow,providers/microsoft/azure/src/airflow/providers/microsoft/azure/utils.py,0,0,0,0,50.0,189,0
airflow,providers/standard/src/airflow/providers/standard/example_dags/example_branch_datetime_operator.py,0,0,0,0,50.0,91,0
airflow,providers/grpc/src/airflow/providers/grpc/hooks/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/apache/hive/tests/unit/apache/hive/hooks/test_hive.py,0,0,0,0,50.0,843,0
airflow,providers/apache/spark/tests/system/apache/spark/example_pyspark.py,0,0,0,0,50.0,63,0
airflow,providers/apache/spark/tests/unit/apache/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/dbt/cloud/tests/unit/dbt/cloud/triggers/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/fab/src/airflow/providers/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/keycloak/tests/system/keycloak/__init__.py,0,0,0,0,50.0,17,0
airflow,airflow-core/src/airflow/utils/scheduler_health.py,0,0,0,0,50.0,57,0
airflow,providers/google/tests/system/google/gcp_api_client_helpers.py,0,0,0,0,50.0,106,0
airflow,shared/observability/src/airflow_shared/observability/exceptions.py,0,0,0,0,50.0,21,0
airflow,airflow-core/src/airflow/dag_processing/__init__.py,0,0,0,0,50.0,16,0
airflow,providers/celery/src/airflow/providers/celery/sensors/celery_queue.py,0,0,0,0,50.0,68,0
airflow,providers/sftp/src/airflow/providers/sftp/operators/__init__.py,0,0,0,0,50.0,16,1
airflow,providers/google/tests/unit/google/test_go_module.py,0,0,0,0,50.0,31,0
airflow,airflow-core/src/airflow/api_fastapi/core_api/routes/ui/dependencies.py,0,0,0,0,50.0,76,0
airflow,dev/breeze/src/airflow_breeze/utils/image.py,0,0,0,0,50.0,227,1
airflow,airflow-core/tests/integration/otel/dags/otel_test_dag.py,0,0,0,0,50.0,75,0
airflow,scripts/ci/prek/check_template_fields.py,0,0,0,0,50.0,41,0
airflow,providers/apache/pinot/src/airflow/providers/apache/__init__.py,0,0,0,0,50.0,17,0
airflow,providers/yandex/tests/system/yandex/example_yandexcloud_yq.py,0,0,0,0,50.0,42,0
